"path","freq","sex","age","indexYear"
"Acetaminophen",206,"all","all","all"
"Acetaminophen-Aspirin",14,"all","all","all"
"Acetaminophen-Clavulanate",6,"all","all","all"
"Aspirin",211,"all","all","all"
"Aspirin-Acetaminophen",12,"all","all","all"
"Aspirin-Clavulanate",6,"all","all","all"
"Clavulanate",51,"all","all","all"
"Acetaminophen",106,"male","all","all"
"Aspirin",110,"male","all","all"
"Aspirin-Acetaminophen",5,"male","all","all"
"Clavulanate",28,"male","all","all"
"Acetaminophen",100,"female","all","all"
"Acetaminophen-Aspirin",10,"female","all","all"
"Aspirin",101,"female","all","all"
"Aspirin-Acetaminophen",7,"female","all","all"
"Aspirin-Clavulanate",5,"female","all","all"
"Clavulanate",23,"female","all","all"
"Acetaminophen",192,"all","0-10","all"
"Acetaminophen-Aspirin",13,"all","0-10","all"
"Acetaminophen-Clavulanate",5,"all","0-10","all"
"Aspirin",203,"all","0-10","all"
"Aspirin-Acetaminophen",10,"all","0-10","all"
"Aspirin-Clavulanate",6,"all","0-10","all"
"Clavulanate",48,"all","0-10","all"
"Acetaminophen",11,"all","10-20","all"
"Aspirin",8,"all","10-20","all"
"Aspirin",5,"all","all","1976"
"Aspirin",13,"all","all","1963"
"Aspirin",9,"male","all","1963"
"Aspirin",13,"all","0-10","1963"
"Acetaminophen",11,"all","all","1973"
"Aspirin",7,"all","all","1973"
"Acetaminophen",5,"male","all","1973"
"Acetaminophen",6,"female","all","1973"
"Acetaminophen",10,"all","0-10","1973"
"Aspirin",5,"all","0-10","1973"
"Acetaminophen",11,"all","all","1969"
"Aspirin",9,"all","all","1969"
"Acetaminophen",5,"male","all","1969"
"Aspirin",5,"male","all","1969"
"Acetaminophen",6,"female","all","1969"
"Acetaminophen",10,"all","0-10","1969"
"Aspirin",7,"all","0-10","1969"
"Aspirin",8,"all","all","1951"
"Aspirin",5,"male","all","1951"
"Aspirin",7,"all","0-10","1951"
"Acetaminophen",10,"all","all","1974"
"Aspirin",5,"all","all","1974"
"Acetaminophen",6,"female","all","1974"
"Acetaminophen",10,"all","0-10","1974"
"Aspirin",5,"all","0-10","1974"
"Aspirin",10,"all","all","1960"
"Aspirin",6,"male","all","1960"
"Aspirin",10,"all","0-10","1960"
"Aspirin",5,"all","all","1971"
"Aspirin",5,"all","0-10","1971"
"Acetaminophen",6,"all","all","1957"
"Aspirin",7,"all","all","1957"
"Aspirin",5,"male","all","1957"
"Acetaminophen",6,"all","0-10","1957"
"Aspirin",7,"all","0-10","1957"
"Acetaminophen",8,"all","all","1972"
"Aspirin",6,"all","all","1972"
"Acetaminophen",6,"female","all","1972"
"Acetaminophen",7,"all","0-10","1972"
"Aspirin",6,"all","0-10","1972"
"Acetaminophen",7,"all","all","1966"
"Aspirin",5,"all","all","1966"
"Acetaminophen",7,"all","0-10","1966"
"Aspirin",5,"all","0-10","1966"
"Acetaminophen",11,"all","all","1965"
"Aspirin",7,"all","all","1965"
"Acetaminophen",7,"male","all","1965"
"Aspirin",5,"male","all","1965"
"Acetaminophen",9,"all","0-10","1965"
"Aspirin",7,"all","0-10","1965"
"Acetaminophen",9,"all","all","1970"
"Acetaminophen",5,"male","all","1970"
"Acetaminophen",9,"all","0-10","1970"
"Acetaminophen",9,"all","all","1967"
"Aspirin",11,"all","all","1967"
"Acetaminophen",5,"male","all","1967"
"Aspirin",7,"female","all","1967"
"Acetaminophen",9,"all","0-10","1967"
"Aspirin",9,"all","0-10","1967"
"Aspirin",11,"all","all","1964"
"Aspirin",5,"male","all","1964"
"Aspirin",6,"female","all","1964"
"Aspirin",11,"all","0-10","1964"
"Acetaminophen",8,"all","all","1962"
"Acetaminophen",8,"all","0-10","1962"
"Acetaminophen",6,"all","all","1956"
"Aspirin",8,"all","all","1956"
"Acetaminophen",6,"all","0-10","1956"
"Aspirin",8,"all","0-10","1956"
"Acetaminophen",8,"all","all","1975"
"Acetaminophen",5,"male","all","1975"
"Acetaminophen",8,"all","0-10","1975"
"Acetaminophen",5,"all","all","1955"
"Aspirin",8,"all","all","1955"
"Acetaminophen",5,"male","all","1955"
"Aspirin",6,"female","all","1955"
"Acetaminophen",5,"all","0-10","1955"
"Aspirin",8,"all","0-10","1955"
"Aspirin",5,"all","all","1954"
"Aspirin",5,"all","0-10","1954"
"Acetaminophen",6,"all","all","1968"
"Aspirin",10,"all","all","1968"
"Aspirin",7,"female","all","1968"
"Acetaminophen",6,"all","0-10","1968"
"Aspirin",10,"all","0-10","1968"
"Acetaminophen",6,"all","all","1961"
"Aspirin",11,"all","all","1961"
"Aspirin",8,"male","all","1961"
"Acetaminophen",6,"all","0-10","1961"
"Aspirin",11,"all","0-10","1961"
"Acetaminophen",8,"all","all","1977"
"Acetaminophen",8,"all","0-10","1977"
"Aspirin",7,"all","all","1950"
"Aspirin",5,"female","all","1950"
"Aspirin",7,"all","0-10","1950"
"Aspirin",7,"all","all","1959"
"Aspirin",7,"all","0-10","1959"
"Acetaminophen",5,"all","all","1958"
"Aspirin",6,"all","all","1958"
"Acetaminophen",5,"all","0-10","1958"
"Aspirin",6,"all","0-10","1958"
"None",1647,"all","all","all"
